"","npi","score_spread","score_bene"
"1090","1679682702",21,20
"1091","1679777064",19,19
"1092","1689600363",18,14
"1093","1689616955",13,5
"1094","1689627192",0,0
"1095","1689639916",2,0
"1096","1689640575",11,11
"1097","1689644973",6,13
"1098","1689653362",13,17
"1099","1689672966",21,23
"1100","1689679730",6,5
"1101","1689682908",7,11
"1102","1689698938",21,15
"1103","1689705188",0,9
"1104","1689716912",0,0
"1105","1689729394",3,15
"1106","1689734246",0,3
"1107","1689745465",8,13
"1108","1689787905",1,6
"1109","1689880163",9,8
"1110","1699720466",3,9
"1111","1699734871",1,5
"1112","1699747063",13,9
"1113","1699756080",10,19
"1114","1699758110",20,16
"1115","1699770586",0,21
"1116","1699771584",0,13
"1117","1699786913",1,5
"1118","1699796185",0,6
"1119","1699851014",2,8
"1120","1699851428",0,8
"1121","1699866301",5,13
"1122","1699870675",5,12
"1123","1699878587",10,11
"1124","1699945543",0,17
"1125","1699947499",7,12
"1126","1699988899",19,14
"1127","1700051919",4,4
"1128","1700808581",11,12
"1129","1700814233",0,8
"1130","1700823325",16,13
"1131","1700849130",7,4
"1132","1700869716",0,7
"1133","1700870904",0,16
"1134","1700879210",0,15
"1135","1700948759",13,10
"1136","1700967130",26,15
"1137","1700969763",3,16
"1138","1700973716",0,10
"1139","1700996311",19,16
"1140","1710040688",0,8
"1141","1710043757",14,9
"1142","1710043799",0,0
"1143","1710083050",20,11
"1144","1710121934",29,14
"1145","1710184148",4,2
